login,full_name,created_at,stargazers_count,watchers_count,language,has_projects,has_wiki,license_name
cferdinandi,cferdinandi/browser-storage-source-code,2017-04-19T19:20:09Z,10,10,HTML,True,True,
cferdinandi,cferdinandi/bugs-and-browser-quirks-source-code,2017-04-19T19:19:37Z,2,2,HTML,True,True,
cferdinandi,cferdinandi/build-tool-boilerplate,2020-04-23T21:25:55Z,491,491,JavaScript,True,True,
cferdinandi,cferdinandi/buoy,2015-06-04T03:46:04Z,55,55,JavaScript,True,True,mit
cferdinandi,cferdinandi/calculator-app-e2e-testing,2023-07-21T17:24:24Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/calculator-app-unit-tests,2023-07-21T17:11:41Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/careers,2016-07-29T01:17:41Z,2,2,CSS,True,True,
cferdinandi,cferdinandi/cferdinandi,2020-07-09T14:38:07Z,4,4,,True,True,
cferdinandi,cferdinandi/css-code-splitting-performance-test,2023-11-15T17:03:56Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/dates-source-code,2023-03-17T16:47:25Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/devchat-eleventy,2019-08-18T02:46:52Z,0,0,CSS,True,True,
cferdinandi,cferdinandi/ditching-jquery-theme,2016-05-09T13:40:06Z,0,0,CSS,True,True,
cferdinandi,cferdinandi/dom-injection-source-code,2017-04-18T20:29:30Z,8,8,HTML,True,True,
cferdinandi,cferdinandi/dom-manipulation-source-code,2017-04-18T20:29:00Z,25,25,HTML,True,True,
cferdinandi,cferdinandi/drop,2013-02-06T19:47:21Z,77,77,JavaScript,True,True,mit
cferdinandi,cferdinandi/e2e-testing,2023-07-20T15:11:10Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/ebook-boilerplate,2016-08-15T02:16:02Z,137,137,CSS,True,True,
cferdinandi,cferdinandi/es-module-bundler,2020-12-03T03:46:24Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/es-module-bundler-multi,2021-11-23T15:52:03Z,1,1,JavaScript,True,True,
cferdinandi,cferdinandi/es-module-scoping,2020-12-02T14:27:23Z,1,1,HTML,True,True,
cferdinandi,cferdinandi/es-modules-default,2020-12-01T14:41:08Z,2,2,JavaScript,True,True,
cferdinandi,cferdinandi/es-modules-demo,2020-11-30T15:07:31Z,3,3,JavaScript,True,True,
cferdinandi,cferdinandi/es-modules-project-source-code,2023-10-04T03:13:44Z,0,0,JavaScript,True,True,
cferdinandi,cferdinandi/es-modules-source-code,2021-03-11T02:29:55Z,3,3,JavaScript,True,True,
cferdinandi,cferdinandi/events,2019-01-21T02:45:29Z,61,61,JavaScript,True,True,mit
cferdinandi,cferdinandi/fetch,2019-01-22T15:16:13Z,2,2,JavaScript,True,True,other
cferdinandi,cferdinandi/fetch-theme,2016-04-29T11:12:52Z,0,0,JavaScript,True,True,mit
cferdinandi,cferdinandi/form-saver,2013-11-19T03:11:15Z,70,70,JavaScript,True,True,mit
cferdinandi,cferdinandi/formdata-source-code,2023-03-23T16:10:39Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/front-end-handbook-2018,2018-05-19T02:33:56Z,1,1,JavaScript,True,True,
cferdinandi,cferdinandi/frontend-horse-js-library,2021-12-13T15:55:36Z,17,17,JavaScript,True,True,
cferdinandi,cferdinandi/future-of-learning,2014-10-24T16:32:49Z,0,0,HTML,True,True,
cferdinandi,cferdinandi/games,2020-02-27T16:00:45Z,6,6,HTML,True,True,
cferdinandi,cferdinandi/gmt-add-ids-to-header-tags,2014-06-24T19:58:29Z,1,1,PHP,True,True,mit
cferdinandi,cferdinandi/gmt-allow-iframes,2017-02-24T11:52:23Z,3,3,PHP,True,True,other
cferdinandi,cferdinandi/gmt-antispambot,2013-10-16T21:23:43Z,4,4,PHP,True,True,mit
cferdinandi,cferdinandi/gmt-articles,2016-07-08T18:50:28Z,1,1,PHP,True,True,
cferdinandi,cferdinandi/gmt-automated-slack-invites,2017-02-27T17:22:28Z,6,6,PHP,True,True,other
cferdinandi,cferdinandi/gmt-checkout,2018-01-16T22:18:46Z,0,0,PHP,True,True,
cferdinandi,cferdinandi/gmt-courses,2016-12-15T22:31:22Z,0,0,PHP,True,True,other
cferdinandi,cferdinandi/gmt-courses-user-management,2018-01-31T02:56:32Z,2,2,PHP,True,True,
cferdinandi,cferdinandi/gmt-disable-mime-checking,2017-02-27T21:11:43Z,0,0,PHP,True,True,
cferdinandi,cferdinandi/gmt-disable-wp-core-updates,2016-09-02T18:19:07Z,2,2,PHP,True,True,mit
cferdinandi,cferdinandi/gmt-donation-invoices,2016-11-21T17:27:15Z,0,0,PHP,True,True,other
cferdinandi,cferdinandi/gmt-donations,2016-11-14T16:04:57Z,4,4,PHP,True,True,other
processing,processing/ambientlightsensor,2015-03-17T19:35:14Z,0,0,Java,True,False,lgpl-2.1
